,Data,Loja,Marca,Produto,Preço (R$)
188,2026-03-28,Kabum,Corsair,"Memória Corsair Vengeance RS, RGB, 16GB, 3200MHz, DDR4 - CMG16GX4M1E3200C16",1591.25
189,2026-03-28,Kabum,Corsair,"Memória 16gb Ddr4 3200mhz Corsair Vengeance Lpx, Black - Cmk16gx4m1e3200c16.",1615
190,2026-03-28,Kabum,Redragon,"Memória Ddr4 Redragon Rage,16gb, 3200mhz,preto,gm-708",1615.4
191,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Dominator Platinum RGB, White, 16GB (2x8GB), 3200MHz, CMT16GX4M2C3200C16W",1699.99
192,2026-03-28,Kabum,Outra/Genérica,Memoria 16gb Ddr4 Ecc Para Dell R240 R340 T140 T340,1709.05
193,2026-03-28,Kabum,Outra/Genérica,Memoria Ddr4 16gb 2666mhz Keepdata,1797.98
194,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast, 16GB (2x8GB), 3200Mhz,Black, KF432C16BBK2/16",1799.9
195,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast RGB, 16GB, 3200Mhz, Preto, KF432C16BB12A/16",1799.99
196,2026-03-28,Kabum,Rise Mode,"Memória RAM Rise Mode Z, 32GB, 3200MHz, DDR4, CL19, Branco - RM-D4-32G-3200ZW",1899.99
197,2026-03-28,Kabum,Rise Mode,"Memória RAM Gamer Rise Mode Aura, RGB, 32GB (2x16GB), 3200MHz, DDR4, CL19, Branco - RM-D4AW-32G-3200ARGB",1909.9
198,2026-03-28,Kabum,Kingston,"Memória Kingston SODIMM, 32GB, 3200MHz, DDR4 - KVR32S22D8/32",1938
199,2026-03-28,Kabum,Kingston,"Memória Kingston Fury Beast Black, 32GB, 3200MHz, DDR4 - KF432C16BB/32",1999.9
200,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D50, 16GB (2x8GB), 3600MHz, RGB, Gray, AX4U360016G18I-DT50",1999.99
201,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Gammix D20, 32GB (2x16GB), 3200Mhz, Black, AX4U320016G16A-DCBK20",2109.99
202,2026-03-28,Kabum,BrazilPC,Memoria 32gb Ddr4 Brazilpc 3200mhz Bpc3200d4cl22/32g O&m,2197.85
203,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D35G, RGB, 32GB, 3200MHz, Black, AX4U320032G16A-SBKD35G",2199.99
204,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Renegade RGB, 16GB (2x8GB), 4000Mhz, KF440C19RB2AK2/16",2219.9
205,2026-03-28,Kabum,Outra/Genérica,Minipc Hp Elitedesk G3 i5 Oitava Geracao 8 Gb-DDR4 M2- 256 Gb Wifi Win11,2254.23
206,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG GAMMIX D35, 32GB, 3200MHz, Black, AX4U320032G16A-SBKD35",2269.99
207,2026-03-28,Kabum,Outra/Genérica,Memoria 32gb Ddr4 Para Dell T430 T630 R430 R530 R630 R730,2279.05
208,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast RGB, 32GB (4x8GB), 3200MHz, Preto, KF432C16BB2Ak4/32",2298.9
209,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance LPX, 32GB (2x16GB) 2400MHz, CMK32GX4M2A2400C16",2299.9
210,2026-03-28,Kabum,Rise Mode,"Memória RAM Gamer Rise Mode Aura, RGB, 32GB (2x16GB), 3200MHz, DDR4, CL19, Preto - RM-D4AB-32G-3200ARGB.",2299.99
211,2026-03-28,Kabum,Rise Mode,"Memória RAM Rise Mode Z, 32GB, 3200MHz, DDR4, CL19, Preto - RM-D4-32G-3200Z",2299.99
212,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB RS, 32GB (2x16GB), 3200MHz, Preto, CMG32GX4M2E3200C16",2309.99
213,2026-03-28,Kabum,Lexar,"Memória Lexar 32gb Ddr4 3200mhz Udimm Cl22 1,2v - Ld4au032g-b3200gsst",2390.07
214,2026-03-28,Kabum,Outra/Genérica,Memoria 32gb Ddr4 Lenovo Thinksystem Sr530 Sr550 Sr570,2399
215,2026-03-28,Kabum,Outra/Genérica,Memoria 32gb Ddr4 Ecc Para Dell R430 R530 R630 R730 R830 R930,2399
216,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance LPX, 32GB (2X16GB), 2666MHz, CMK32GX4M2A2666C16",2409.99
217,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance LPX, 32GB (2x16GB), 3200MHz, Black, CMK32GX4M2E3200C16",2509.99
218,2026-03-28,Kabum,Outra/Genérica,Minipc Hp Elitedesk G3 i5 Oitava Geracao 16 Gb-DDR4 M2- 256 Gb Wifi Win11,2568.57
219,2026-03-28,Kabum,Kingston,"Memória RAM Kingston Fury Renegade RGB, 32GB (4x8GB), DDR4, 3200MHz, CL16, Preto - KF432C16RB2AK4/32",2569.9
220,2026-03-28,Kabum,Corsair,"Memória RAM Corsair Vengeance LPX 16GB (2x8GB), 2666MHz, DDR4, CL16, Preto - CMK16GX4M2A2666C16",2629.99
221,2026-03-28,Kabum,XPG,"Memória RAM XPG Spectrix D50 RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-DW50",2649.99
222,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D50, 32GB (2x16GB), 3200MHz, RGB, White, AX4U320016G16A-DW50",2649.99
223,2026-03-28,Kabum,Kingston,"Memória RAM Kingston Fury Beast, RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - KF432C16BB12AK2/32",2689.9
224,2026-03-28,Kabum,Corsair,"Memória RAM Corsair Vengeance RGB RS, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - CMG32GX4M2E3200C16",2699.99
225,2026-03-28,Kabum,Corsair,"Memória RAM Corsair Vengeance LPX, 32GB (2x16GB), 2666MHz, DDR4, CL16, Preto - CMK32GX4M2A2666C16",2699.99
226,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB Pro, 32GB (2x16GB), 3200MHz, Preto, CMW32GX4M2E3200C16",2709.99
227,2026-03-28,Kabum,Outra/Genérica,Minipc Hp Elitedesk i5 Oitava Geracao 16 Gb-DDR4 M2- 512 Gb Wifi Win11,2815.99
228,2026-03-28,Kabum,Outra/Genérica,"Memória Oxy Gamer, 32GB, 3200MHz, DDR4, BR",2991.9
229,2026-03-28,Kabum,XPG,"Memória RAM XPG Spectrix D35G, RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-DTWHD35G",2999.99
230,2026-03-28,Kabum,Kingston,"Memória RAM Kingston Fury Beast, RGB, 64GB (2x32GB), 3200MHz, DDR4, CL16, Preto - KF432C16BB2AK2/64",4929.99
231,2026-03-28,Kabum,Kingston,"Memória RAM Kingston Fury Beast, RGB, 128GB (4x32GB), 3200MHz, DDR4, CL16, Preto - KF432C16BB2AK4/128",9859.99
